,Municipio,Tipo,Mortes,Taxa_mortalidade,Ano
426,Mongagua,Ciclistas,0,0.0,2010
427,Mongagua,Motociclistas,0,0.0,2010
428,Mongagua,Ocupantes de automóvel,6,12.6,2010
429,Mongagua,Outros,1,2.1,2010
430,Peruibe,Pedestres,6,9.8,2010
431,Peruibe,Ciclistas,0,0.0,2010
432,Peruibe,Motociclistas,0,0.0,2010
433,Peruibe,Ocupantes de automóvel,0,0.0,2010
434,Peruibe,Outros,6,9.8,2010
435,Praia Grande,Pedestres,20,7.4,2010
436,Praia Grande,Ciclistas,2,0.7,2010
437,Praia Grande,Motociclistas,11,4.1,2010
438,Praia Grande,Ocupantes de automóvel,3,1.1,2010
439,Praia Grande,Outros,33,12.3,2010
440,Santos,Pedestres,40,9.3,2010
441,Santos,Ciclistas,12,2.8,2010
442,Santos,Motociclistas,30,7.0,2010
443,Santos,Ocupantes de automóvel,1,0.2,2010
444,Santos,Outros,14,3.3,2010
445,Sao Vicente,Pedestres,8,2.3,2010
446,Sao Vicente,Ciclistas,0,0.0,2010
447,Sao Vicente,Motociclistas,6,1.8,2010
448,Sao Vicente,Ocupantes de automóvel,3,0.9,2010
449,Sao Vicente,Outros,13,3.8,2010
450,Bertioga,Pedestres,1,2.0,2011
451,Bertioga,Ciclistas,0,0.0,2011
452,Bertioga,Motociclistas,0,0.0,2011
453,Bertioga,Ocupantes de automóvel,0,0.0,2011
454,Bertioga,Outros,17,33.7,2011
455,Cubatao,Pedestres,11,9.0,2011
456,Cubatao,Ciclistas,1,0.8,2011
457,Cubatao,Motociclistas,10,8.1,2011
458,Cubatao,Ocupantes de automóvel,1,0.8,2011
459,Cubatao,Outros,10,8.1,2011
460,Guaruja,Pedestres,3,1.0,2011
461,Guaruja,Ciclistas,0,0.0,2011
462,Guaruja,Motociclistas,3,1.0,2011
463,Guaruja,Ocupantes de automóvel,0,0.0,2011
464,Guaruja,Outros,26,8.6,2011
465,Itanhaem,Pedestres,12,13.2,2011
466,Itanhaem,Ciclistas,6,6.6,2011
467,Itanhaem,Motociclistas,2,2.2,2011
468,Itanhaem,Ocupantes de automóvel,6,6.6,2011
469,Itanhaem,Outros,3,3.3,2011
470,Mongagua,Pedestres,0,0.0,2011
471,Mongagua,Ciclistas,0,0.0,2011
472,Mongagua,Motociclistas,1,2.1,2011
473,Mongagua,Ocupantes de automóvel,6,12.4,2011
474,Mongagua,Outros,0,0.0,2011
475,Peruibe,Pedestres,0,0.0,2011
476,Peruibe,Ciclistas,0,0.0,2011
477,Peruibe,Motociclistas,1,1.6,2011
478,Peruibe,Ocupantes de automóvel,8,12.9,2011
479,Peruibe,Outros,7,11.3,2011
480,Praia Grande,Pedestres,22,8.0,2011
481,Praia Grande,Ciclistas,13,4.7,2011
482,Praia Grande,Motociclistas,23,8.4,2011
483,Praia Grande,Ocupantes de automóvel,3,1.1,2011
484,Praia Grande,Outros,12,4.4,2011
485,Santos,Pedestres,30,7.0,2011
486,Santos,Ciclistas,14,3.3,2011
487,Santos,Motociclistas,31,7.2,2011
488,Santos,Ocupantes de automóvel,8,1.9,2011
489,Santos,Outros,16,3.7,2011
490,Sao Vicente,Pedestres,7,2.0,2011
491,Sao Vicente,Ciclistas,4,1.2,2011
492,Sao Vicente,Motociclistas,10,2.9,2011
493,Sao Vicente,Ocupantes de automóvel,2,0.6,2011
494,Sao Vicente,Outros,30,8.7,2011
495,Bertioga,Pedestres,0,0.0,2012
496,Bertioga,Ciclistas,0,0.0,2012
497,Bertioga,Motociclistas,0,0.0,2012
498,Bertioga,Ocupantes de automóvel,0,0.0,2012
499,Bertioga,Outros,26,49.9,2012
500,Cubatao,Pedestres,8,6.5,2012
501,Cubatao,Ciclistas,0,0.0,2012
502,Cubatao,Motociclistas,6,4.8,2012
503,Cubatao,Ocupantes de automóvel,1,0.8,2012
504,Cubatao,Outros,12,9.7,2012
505,Guaruja,Pedestres,7,2.3,2012
506,Guaruja,Ciclistas,0,0.0,2012
507,Guaruja,Motociclistas,0,0.0,2012
508,Guaruja,Ocupantes de automóvel,0,0.0,2012
509,Guaruja,Outros,49,16.2,2012
510,Itanhaem,Pedestres,8,8.7,2012
511,Itanhaem,Ciclistas,0,0.0,2012
512,Itanhaem,Motociclistas,4,4.3,2012
513,Itanhaem,Ocupantes de automóvel,6,6.5,2012
514,Itanhaem,Outros,1,1.1,2012
515,Mongagua,Pedestres,5,10.1,2012
516,Mongagua,Ciclistas,0,0.0,2012
517,Mongagua,Motociclistas,0,0.0,2012
518,Mongagua,Ocupantes de automóvel,2,4.0,2012
519,Mongagua,Outros,5,10.1,2012
520,Peruibe,Pedestres,5,8.0,2012
521,Peruibe,Ciclistas,1,1.6,2012
522,Peruibe,Motociclistas,3,4.8,2012
523,Peruibe,Ocupantes de automóvel,1,1.6,2012
524,Peruibe,Outros,1,1.6,2012
525,Praia Grande,Pedestres,15,5.3,2012
526,Praia Grande,Ciclistas,14,5.0,2012
527,Praia Grande,Motociclistas,18,6.4,2012
528,Praia Grande,Ocupantes de automóvel,15,5.3,2012
529,Praia Grande,Outros,10,3.6,2012
530,Santos,Pedestres,34,7.9,2012
531,Santos,Ciclistas,8,1.9,2012
532,Santos,Motociclistas,37,8.6,2012
533,Santos,Ocupantes de automóvel,9,2.1,2012
534,Santos,Outros,17,3.9,2012
535,Sao Vicente,Pedestres,15,4.3,2012
536,Sao Vicente,Ciclistas,3,0.9,2012
537,Sao Vicente,Motociclistas,14,4.0,2012
538,Sao Vicente,Ocupantes de automóvel,8,2.3,2012
539,Sao Vicente,Outros,9,2.6,2012
540,Bertioga,Pedestres,0,0.0,2013
541,Bertioga,Ciclistas,0,0.0,2013
542,Bertioga,Motociclistas,0,0.0,2013
543,Bertioga,Ocupantes de automóvel,0,0.0,2013
544,Bertioga,Outros,28,52.1,2013
545,Cubatao,Pedestres,4,3.2,2013
546,Cubatao,Ciclistas,1,0.8,2013
547,Cubatao,Motociclistas,11,8.8,2013
548,Cubatao,Ocupantes de automóvel,1,0.8,2013
549,Cubatao,Outros,7,5.6,2013
550,Guaruja,Pedestres,13,4.3,2013
551,Guaruja,Ciclistas,0,0.0,2013
552,Guaruja,Motociclistas,0,0.0,2013
553,Guaruja,Ocupantes de automóvel,0,0.0,2013
554,Guaruja,Outros,39,12.8,2013
555,Itanhaem,Pedestres,19,20.3,2013
556,Itanhaem,Ciclistas,0,0.0,2013
557,Itanhaem,Motociclistas,3,3.2,2013
558,Itanhaem,Ocupantes de automóvel,1,1.1,2013
559,Itanhaem,Outros,6,6.4,2013
560,Mongagua,Pedestres,14,27.7,2013
561,Mongagua,Ciclistas,0,0.0,2013
562,Mongagua,Motociclistas,0,0.0,2013
563,Mongagua,Ocupantes de automóvel,1,2.0,2013
564,Mongagua,Outros,2,4.0,2013
565,Peruibe,Pedestres,2,3.1,2013
566,Peruibe,Ciclistas,0,0.0,2013
567,Peruibe,Motociclistas,1,1.6,2013
568,Peruibe,Ocupantes de automóvel,0,0.0,2013
569,Peruibe,Outros,4,6.3,2013
